ID,gender,age,dress,height,frames,test
1,M,-,0,287,82,False
2,F,22,0,276,108,True
3,F,26,1,287,81,False
4,M,14,0,290,78,True
5,M,13,0,294,68,False
6,M,-,0,282,78,True
7,M,13,0,311,80,False
8,M,8,0,227,91,True
9,M,13,0,290,94,False
10,M,13,0,306,86,True
11,M,18,0,306,62,False
12,M,18,0,298,84,True
13,M,19,0,305,81,False
14,M,8,0,235,97,True
15,M,18,0,295,91,False
16,M,19,0,322,77,True
17,M,19,0,304,83,False
18,M,19,0,313,75,True
19,F,18,0,275,83,False
20,F,8,0,210,75,True
21,F,19,1,288,82,False
22,F,40,0,261,74,True
23,F,18,1,289,84,False
24,M,25,0,304,81,True
25,M,38,0,323,86,False
26,M,18,0,313,68,True
27,F,35,0,295,65,False
28,M,11,0,0,0,True
29,F,12,0,252,71,False
30,M,9,0,243,84,True
31,F,48,1,267,70,False
32,M,9,0,225,78,True
33,F,10,0,243,87,False
34,F,47,0,272,65,True
35,F,11,0,274,75,False
36,F,46,0,284,73,True
37,F,12,0,277,69,False
38,F,39,0,251,90,True
39,F,44,0,299,85,False
40,F,6,0,212,93,True
41,F,44,0,268,68,False
42,F,44,1,275,78,True
43,F,10,1,261,65,False
44,F,47,0,284,52,True
45,M,40,0,293,85,False
46,M,6,0,206,85,True
47,M,-,0,290,78,False
48,M,7,0,212,82,True
49,F,43,0,251,80,False
50,F,35,0,288,82,True
51,M,9,0,237,75,False
52,F,50,1,276,80,True
53,M,9,0,234,76,False
54,F,52,0,287,81,True
55,F,-,0,203,90,False
56,F,10,1,232,77,True
57,M,8,0,221,103,False
58,F,8,1,217,72,True
59,F,60,0,280,90,False
60,M,9,0,226,75,True
61,F,59,0,271,75,False
62,M,45,0,327,89,True
63,F,45,0,308,87,False
64,F,32,0,270,81,True
65,F,47,1,276,90,False
66,M,26,0,303,69,True
67,F,34,0,278,58,False
68,M,11,0,229,64,True
69,F,43,1,267,97,False
70,F,39,0,259,75,True
71,F,49,1,289,80,False
72,M,21,0,309,65,True
73,M,6,0,207,88,False
74,M,37,0,344,55,True
75,M,11,0,250,89,False
76,F,12,0,278,68,True
77,M,34,0,295,95,False
78,M,9,0,234,75,True
79,M,9,0,257,88,False
80,M,9,0,244,55,True
81,M,42,0,324,70,False
82,F,41,0,289,80,True
83,F,11,0,257,72,False
84,M,7,0,233,77,True
85,F,-,0,266,83,False
86,M,35,0,309,71,True
87,F,59,0,273,85,False
88,F,31,1,300,87,True
89,M,68,0,278,77,False
90,F,27,0,299,85,True
91,M,9,0,236,51,False
92,F,53,0,281,73,True
93,M,4,0,188,83,False
94,F,40,0,285,76,True
95,F,43,1,269,80,False
96,F,17,1,275,79,True
97,M,21,0,297,74,False
98,F,53,0,286,74,True
99,F,11,0,261,83,False
100,F,8,0,223,86,True
101,F,40,0,285,81,False
102,F,28,1,268,76,True
103,M,29,0,280,71,False
104,F,53,0,282,91,True
105,M,70,0,267,106,False
106,F,17,1,264,78,True
107,F,18,1,282,65,False
108,M,17,0,295,75,True
109,F,45,0,287,69,False
110,M,24,0,323,77,True
111,F,25,0,285,98,False
112,F,8,0,233,101,True
113,F,33,0,290,91,False
114,M,33,0,321,77,True
115,M,10,0,258,68,False
116,M,36,0,316,83,True
117,M,8,0,222,85,False
118,F,44,1,300,68,True
119,M,6,0,196,60,False
120,F,11,1,246,86,True
121,F,36,0,255,93,False
122,F,9,1,259,82,True
123,M,47,0,304,71,False
124,F,49,0,254,83,True
125,F,13,0,249,115,False
126,M,6,0,216,122,True
127,M,8,0,0,0,False
128,F,42,1,294,71,True
129,M,10,0,230,87,False
130,M,11,0,258,82,True
131,F,20,0,277,81,False
132,M,20,0,304,84,True
133,M,7,0,203,93,False
134,F,41,1,281,99,True
135,M,42,0,307,86,False
136,F,9,1,234,84,True
137,F,9,1,230,85,False
138,F,10,1,224,68,True
139,F,7,1,217,70,False
140,F,38,0,279,80,True
141,F,8,0,0,0,False
142,F,8,0,226,74,True
143,F,8,0,220,90,False
144,M,16,0,327,83,True
145,F,38,0,273,78,False
146,M,37,0,319,67,True
147,M,26,0,298,118,False
148,F,24,1,277,98,True
149,M,9,0,250,102,False
150,F,41,0,274,82,True
151,M,11,0,262,68,False
152,F,11,0,269,70,True
153,F,44,0,292,82,False
154,F,9,0,227,54,True
155,F,41,0,269,82,False
156,F,8,0,210,75,True
157,F,34,0,0,0,False
158,F,5,1,205,81,True
159,F,34,0,260,81,False
160,M,7,0,219,66,True
161,M,7,0,214,81,False
162,M,5,0,198,77,True
163,F,48,0,290,80,False
164,F,36,0,276,66,True
165,M,6,0,195,70,False
166,F,6,0,0,0,True
167,M,5,0,0,0,False
168,M,9,0,250,75,True
169,F,7,0,230,69,False
170,F,32,0,287,69,True
171,F,8,1,216,81,False
172,M,33,0,315,73,True
173,F,10,0,0,0,False
174,M,11,0,260,77,True
175,M,8,0,226,76,False
176,M,10,0,239,90,True
177,M,10,0,258,79,False
178,M,42,0,309,70,True
179,F,41,0,0,0,False
180,M,28,0,298,86,True
181,F,34,1,281,74,False
182,M,9,0,222,67,True
183,F,10,1,227,87,False
184,M,9,0,224,91,True
185,F,40,0,268,86,False
186,M,15,0,301,101,True
187,F,10,0,238,67,False
188,F,25,1,273,68,True
189,F,42,0,289,65,False
190,M,10,0,230,98,True
191,M,6,0,206,77,False
192,F,48,0,257,93,True
193,M,47,0,318,83,False
194,M,6,0,244,74,True
195,F,11,0,243,63,False
196,F,8,1,219,75,True
